"market","coin","coinname"
"cryptopia","Ethereum Classic","Ethereum Classic#cryptopia"
"cryptopia","NoLimitCoin","NoLimitCoin#cryptopia"
"cryptopia","ZenCash","ZenCash#cryptopia"
"cryptopia","Zcash","Zcash#cryptopia"
"cryptopia","Dotcoin","Dotcoin#cryptopia"
"cryptopia","Monoeci","Monoeci#cryptopia"
"cryptopia","Rupee","Rupee#cryptopia"
"cryptopia","Golem","Golem#cryptopia"
"cryptopia","Innova","Innova#cryptopia"
"cryptopia","NEM","NEM#cryptopia"
"cryptopia","TrezarCoin","TrezarCoin#cryptopia"
"cryptopia","Ubiq","Ubiq#cryptopia"
"cryptopia","OmiseGO","OmiseGO#cryptopia"
"cryptopia","Dash","Dash#cryptopia"
"cryptopia","Mintcoin","Mintcoin#cryptopia"
"cryptopia","Ellaism","Ellaism#cryptopia"
"cryptopia","Dimecoin","Dimecoin#cryptopia"
"cryptopia","PoSW Coin","PoSW Coin#cryptopia"
"cryptopia","Neblio","Neblio#cryptopia"
"cryptopia","GeertCoin","GeertCoin#cryptopia"
"cryptopia","TenX","TenX#cryptopia"
"cryptopia","Divi","Divi#cryptopia"
"cryptopia","PIVX","PIVX#cryptopia"
"cryptopia","StrikeBitClub","StrikeBitClub#cryptopia"
"cryptopia","CloakCoin","CloakCoin#cryptopia"
"cryptopia","MobileGo","MobileGo#cryptopia"
"cryptopia","Dentacoin","Dentacoin#cryptopia"
"cryptopia","DecentBet","DecentBet#cryptopia"
"cryptopia","Decision Token","Decision Token#cryptopia"
"cryptopia","MagicCoin","MagicCoin#cryptopia"
"cryptopia","Enjin Coin","Enjin Coin#cryptopia"
"cryptopia","Copico","Copico#cryptopia"
"cryptopia","Komodo","Komodo#cryptopia"
"cryptopia","Denarius","Denarius#cryptopia"
"cryptopia","ALIS","ALIS#cryptopia"
"cryptopia","Einsteinium","Einsteinium#cryptopia"
"cryptopia","Ark","Ark#cryptopia"
"cryptopia","BitBay","BitBay#cryptopia"
"cryptopia","LBRY Credits","LBRY Credits#cryptopia"
"cryptopia","MaidSafeCoin","MaidSafeCoin#cryptopia"
"cryptopia","LiteBitcoin","LiteBitcoin#cryptopia"
"cryptopia","ChainCoin","ChainCoin#cryptopia"
"cryptopia","DigitalPrice","DigitalPrice#cryptopia"
"cryptopia","Monkey Project","Monkey Project#cryptopia"
"cryptopia","BitBean","BitBean#cryptopia"
"cryptopia","InvestFeed","InvestFeed#cryptopia"
"cryptopia","ZCoin","ZCoin#cryptopia"
"cryptopia","HomeBlockCoin","HomeBlockCoin#cryptopia"
"cryptopia","VIVO","VIVO#cryptopia"
"cryptopia","Linx","Linx#cryptopia"
"cryptopia","BlackCoin","BlackCoin#cryptopia"
"cryptopia","GameCredits","GameCredits#cryptopia"
"cryptopia","Nexus","Nexus#cryptopia"
"cryptopia","Oyster Pearl","Oyster Pearl#cryptopia"
"cryptopia","Stealthcoin","Stealthcoin#cryptopia"
"cryptopia","Groestlcoin","Groestlcoin#cryptopia"
"cryptopia","EquiTrader","EquiTrader#cryptopia"
"cryptopia","Open Trading Network","Open Trading Network#cryptopia"
"cryptopia","Bytom","Bytom#cryptopia"
"cryptopia","CampusCoin","CampusCoin#cryptopia"
"cryptopia","Upfiring","Upfiring#cryptopia"
"cryptopia","Karbo","Karbo#cryptopia"
"cryptopia","Myriad","Myriad#cryptopia"
"cryptopia","Embers","Embers#cryptopia"
"cryptopia","GCoin","GCoin#cryptopia"
"cryptopia","Publica","Publica#cryptopia"
"cryptopia","Photon","Photon#cryptopia"
"cryptopia","Voise","Voise#cryptopia"
"cryptopia","Bonpay","Bonpay#cryptopia"
"cryptopia","Bitdeal","Bitdeal#cryptopia"
"cryptopia","CryptoForecast","CryptoForecast#cryptopia"
"cryptopia","Primecoin","Primecoin#cryptopia"
"cryptopia","Tokugawa","Tokugawa#cryptopia"
"cryptopia","Creativecoin","Creativecoin#cryptopia"
"cryptopia","CannabisCoin","CannabisCoin#cryptopia"
"cryptopia","Pillar","Pillar#cryptopia"
"cryptopia","Centra","Centra#cryptopia"
"cryptopia","Interstellar Holdings","Interstellar Holdings#cryptopia"
"cryptopia","Bitcoin Fast","Bitcoin Fast#cryptopia"
"cryptopia","XGOX","XGOX#cryptopia"
"cryptopia","VeriCoin","VeriCoin#cryptopia"
"cryptopia","Expanse","Expanse#cryptopia"
"cryptopia","Bitcloud","Bitcloud#cryptopia"
"cryptopia","Crave","Crave#cryptopia"
"cryptopia","TeslaCoin","TeslaCoin#cryptopia"
"cryptopia","Syndicate","Syndicate#cryptopia"
"cryptopia","Terracoin","Terracoin#cryptopia"
"cryptopia","Feathercoin","Feathercoin#cryptopia"
"cryptopia","DopeCoin","DopeCoin#cryptopia"
"cryptopia","Billionaire Token","Billionaire Token#cryptopia"
"cryptopia","Marscoin","Marscoin#cryptopia"
"cryptopia","Growers International","Growers International#cryptopia"
"cryptopia","Synereo","Synereo#cryptopia"
"cryptopia","SpreadCoin","SpreadCoin#cryptopia"
"cryptopia","Sexcoin","Sexcoin#cryptopia"
"cryptopia","Comet","Comet#cryptopia"
"cryptopia","Footy Cash","Footy Cash#cryptopia"
"cryptopia","Unobtanium","Unobtanium#cryptopia"
"cryptopia","LeviarCoin","LeviarCoin#cryptopia"
"cryptopia","Bongger","Bongger#cryptopia"
"cryptopia","OKCash","OKCash#cryptopia"
"cryptopia","Atomic Coin","Atomic Coin#cryptopia"
"cryptopia","Pura","Pura#cryptopia"
"cryptopia","ArcticCoin","ArcticCoin#cryptopia"
"cryptopia","Neutron","Neutron#cryptopia"
"cryptopia","PetroDollar","PetroDollar#cryptopia"
"cryptopia","GAY Money","GAY Money#cryptopia"
"cryptopia","Factom","Factom#cryptopia"
"cryptopia","Rimbit","Rimbit#cryptopia"
"cryptopia","Triangles","Triangles#cryptopia"
"cryptopia","1337","1337#cryptopia"
"cryptopia","Fastcoin","Fastcoin#cryptopia"
"cryptopia","Litecoin Plus","Litecoin Plus#cryptopia"
"cryptopia","Pioneer Coin","Pioneer Coin#cryptopia"
"cryptopia","Zeitcoin","Zeitcoin#cryptopia"
"cryptopia","Atmos","Atmos#cryptopia"
"cryptopia","BatCoin","BatCoin#cryptopia"
"cryptopia","BitSend","BitSend#cryptopia"
"cryptopia","Decred","Decred#cryptopia"
"cryptopia","Kurrent","Kurrent#cryptopia"
"cryptopia","AdShares","AdShares#cryptopia"
"cryptopia","SOILcoin","SOILcoin#cryptopia"
"cryptopia","HyperStake","HyperStake#cryptopia"
"cryptopia","InflationCoin","InflationCoin#cryptopia"
"cryptopia","Kyber Network","Kyber Network#cryptopia"
"cryptopia","Metal","Metal#cryptopia"
"cryptopia","ArtByte","ArtByte#cryptopia"
"cryptopia","Megacoin","Megacoin#cryptopia"
"cryptopia","Crypto Bullion","Crypto Bullion#cryptopia"
"cryptopia","BitcoinDark","BitcoinDark#cryptopia"
"cryptopia","Blockpool","Blockpool#cryptopia"
"cryptopia","ProCurrency","ProCurrency#cryptopia"
"cryptopia","DCORP","DCORP#cryptopia"
"cryptopia","808Coin","808Coin#cryptopia"
"cryptopia","CoinonatX","CoinonatX#cryptopia"
"cryptopia","Peercoin","Peercoin#cryptopia"
"cryptopia","Animecoin","Animecoin#cryptopia"
"cryptopia","Augur","Augur#cryptopia"
"cryptopia","RedCoin","RedCoin#cryptopia"
"cryptopia","StarCredits","StarCredits#cryptopia"
"cryptopia","KekCoin","KekCoin#cryptopia"
"cryptopia","PinkCoin","PinkCoin#cryptopia"
"cryptopia","Condensate","Condensate#cryptopia"
"cryptopia","Unitus","Unitus#cryptopia"
"cryptopia","Pesetacoin","Pesetacoin#cryptopia"
"cryptopia","Cryptojacks","Cryptojacks#cryptopia"
"cryptopia","Quark","Quark#cryptopia"
"cryptopia","EverGreenCoin","EverGreenCoin#cryptopia"
"cryptopia","Bitcoin Scrypt","Bitcoin Scrypt#cryptopia"
"cryptopia","Unify","Unify#cryptopia"
"cryptopia","Renos","Renos#cryptopia"
"cryptopia","MyBit Token","MyBit Token#cryptopia"
"cryptopia","BlockMason Credit Protocol","BlockMason Credit Protocol#cryptopia"
"cryptopia","LiteDoge","LiteDoge#cryptopia"
"cryptopia","MarxCoin","MarxCoin#cryptopia"
"cryptopia","CannaCoin","CannaCoin#cryptopia"
"cryptopia","GoldCoin","GoldCoin#cryptopia"
"cryptopia","X-Coin","X-Coin#cryptopia"
"cryptopia","Startcoin","Startcoin#cryptopia"
"cryptopia","TittieCoin","TittieCoin#cryptopia"
"cryptopia","CacheCoin","CacheCoin#cryptopia"
"cryptopia","InsaneCoin","InsaneCoin#cryptopia"
"cryptopia","DNotes","DNotes#cryptopia"
"cryptopia","Skeincoin","Skeincoin#cryptopia"
"cryptopia","BipCoin","BipCoin#cryptopia"
"cryptopia","Masternodecoin","Masternodecoin#cryptopia"
"cryptopia","SecureCoin","SecureCoin#cryptopia"
"cryptopia","LiteCoin Ultra","LiteCoin Ultra#cryptopia"
"cryptopia","GeoCoin","GeoCoin#cryptopia"
"cryptopia","Version","Version#cryptopia"
"cryptopia","Piggycoin","Piggycoin#cryptopia"
"cryptopia","RonPaulCoin","RonPaulCoin#cryptopia"
"cryptopia","FlutterCoin","FlutterCoin#cryptopia"
"cryptopia","Pascal Lite","Pascal Lite#cryptopia"
"cryptopia","Auroracoin","Auroracoin#cryptopia"
"cryptopia","BunnyCoin","BunnyCoin#cryptopia"
"cryptopia","DaxxCoin","DaxxCoin#cryptopia"
"cryptopia","Bitstar","Bitstar#cryptopia"
"cryptopia","NetCoin","NetCoin#cryptopia"
"cryptopia","HEAT","HEAT#cryptopia"
"cryptopia","SpaceCoin","SpaceCoin#cryptopia"
"cryptopia","Royalties","Royalties#cryptopia"
"cryptopia","SmartCoin","SmartCoin#cryptopia"
"cryptopia","EcoCoin","EcoCoin#cryptopia"
"cryptopia","KushCoin","KushCoin#cryptopia"
"cryptopia","C-Bit","C-Bit#cryptopia"
"cryptopia","PlatinumBAR","PlatinumBAR#cryptopia"
"cryptopia","ToaCoin","ToaCoin#cryptopia"
"cryptopia","Zetacoin","Zetacoin#cryptopia"
"cryptopia","MazaCoin","MazaCoin#cryptopia"
"cryptopia","DigiPulse","DigiPulse#cryptopia"
"cryptopia","Social","Social#cryptopia"
"cryptopia","Bitgem","Bitgem#cryptopia"
"cryptopia","Digitalcoin","Digitalcoin#cryptopia"
"cryptopia","EncryptoTel [ETH]","EncryptoTel [ETH]#cryptopia"
"cryptopia","Coimatic 3.0","Coimatic 3.0#cryptopia"
"cryptopia","IncaKoin","IncaKoin#cryptopia"
"cryptopia","Qwark","Qwark#cryptopia"
"cryptopia","Netko","Netko#cryptopia"
"cryptopia","Musiconomi","Musiconomi#cryptopia"
"cryptopia","UltraCoin","UltraCoin#cryptopia"
"cryptopia","Blocktix","Blocktix#cryptopia"
"cryptopia","SIBCoin","SIBCoin#cryptopia"
"cryptopia","42-coin","42-coin#cryptopia"
"cryptopia","Joulecoin","Joulecoin#cryptopia"
"cryptopia","WorldCoin","WorldCoin#cryptopia"
"cryptopia","RabbitCoin","RabbitCoin#cryptopia"
"cryptopia","FuelCoin","FuelCoin#cryptopia"
"cryptopia","AdCoin","AdCoin#cryptopia"
"cryptopia","Altcoin","Altcoin#cryptopia"
"cryptopia","Pandacoin","Pandacoin#cryptopia"
"cryptopia","Metal Music Coin","Metal Music Coin#cryptopia"
"cryptopia","Motocoin","Motocoin#cryptopia"
"cryptopia","Gnosis","Gnosis#cryptopia"
"cryptopia","Senderon","Senderon#cryptopia"
"cryptopia","NobleCoin","NobleCoin#cryptopia"
"cryptopia","Argus","Argus#cryptopia"
"cryptopia","OX Fina","OX Fina#cryptopia"
"cryptopia","Namecoin","Namecoin#cryptopia"
"cryptopia","FujiCoin","FujiCoin#cryptopia"
"cryptopia","CORION","CORION#cryptopia"
"cryptopia","LottoCoin","LottoCoin#cryptopia"
"cryptopia","Memetic / PepeCoin","Memetic / PepeCoin#cryptopia"
"cryptopia","Rubycoin","Rubycoin#cryptopia"
"cryptopia","Marijuanacoin","Marijuanacoin#cryptopia"
"cryptopia","Bitradio","Bitradio#cryptopia"
"cryptopia","TransferCoin","TransferCoin#cryptopia"
"cryptopia","Minereum","Minereum#cryptopia"
"cryptopia","Money","Money#cryptopia"
"cryptopia","DFSCoin","DFSCoin#cryptopia"
"cryptopia","Catcoin","Catcoin#cryptopia"
"cryptopia","Everus","Everus#cryptopia"
"cryptopia","Dalecoin","Dalecoin#cryptopia"
"cryptopia","Eryllium","Eryllium#cryptopia"
"cryptopia","Emerald Crypto","Emerald Crypto#cryptopia"
"cryptopia","TerraNova","TerraNova#cryptopia"
"cryptopia","Dinastycoin","Dinastycoin#cryptopia"
"cryptopia","Influxcoin","Influxcoin#cryptopia"
"cryptopia","MACRON","MACRON#cryptopia"
"cryptopia","Bitcoin Plus","Bitcoin Plus#cryptopia"
"cryptopia","VeriumReserve","VeriumReserve#cryptopia"
"cryptopia","iQuant","iQuant#cryptopia"
"cryptopia","PostCoin","PostCoin#cryptopia"
"cryptopia","PutinCoin","PutinCoin#cryptopia"
"cryptopia","Canada eCoin","Canada eCoin#cryptopia"
"cryptopia","SkinCoin","SkinCoin#cryptopia"
"cryptopia","Phoenixcoin","Phoenixcoin#cryptopia"
"cryptopia","PopularCoin","PopularCoin#cryptopia"
"cryptopia","ChanCoin","ChanCoin#cryptopia"
"cryptopia","BlazeCoin","BlazeCoin#cryptopia"
"cryptopia","DigitalDevelopersFund","DigitalDevelopersFund#cryptopia"
"cryptopia","e-Gulden","e-Gulden#cryptopia"
"cryptopia","Emercoin","Emercoin#cryptopia"
"cryptopia","Kronecoin","Kronecoin#cryptopia"
"cryptopia","LanaCoin","LanaCoin#cryptopia"
"cryptopia","Royal Kingdom Coin","Royal Kingdom Coin#cryptopia"
"cryptopia","Blakecoin","Blakecoin#cryptopia"
"cryptopia","AudioCoin","AudioCoin#cryptopia"
"cryptopia","Deutsche eMark","Deutsche eMark#cryptopia"
"cryptopia","ZSEcoin","ZSEcoin#cryptopia"
"cryptopia","Bata","Bata#cryptopia"
"cryptopia","VapersCoin","VapersCoin#cryptopia"
"cryptopia","Orbitcoin","Orbitcoin#cryptopia"
"cryptopia","Solarflarecoin","Solarflarecoin#cryptopia"
"cryptopia","Titcoin","Titcoin#cryptopia"
"cryptopia","ICOBID","ICOBID#cryptopia"
"cryptopia","Donationcoin","Donationcoin#cryptopia"
"cryptopia","TEKcoin","TEKcoin#cryptopia"
"cryptopia","QubitCoin","QubitCoin#cryptopia"
"cryptopia","DROXNE","DROXNE#cryptopia"
"cryptopia","Guncoin","Guncoin#cryptopia"
"cryptopia","Ratecoin","Ratecoin#cryptopia"
"cryptopia","Ixcoin","Ixcoin#cryptopia"
"cryptopia","Cannation","Cannation#cryptopia"
"cryptopia","SixEleven","SixEleven#cryptopia"
"cryptopia","Kobocoin","Kobocoin#cryptopia"
"cryptopia","NamoCoin","NamoCoin#cryptopia"
"cryptopia","TrumpCoin","TrumpCoin#cryptopia"
"cryptopia","PlexCoin","PlexCoin#cryptopia"
"cryptopia","Sterlingcoin","Sterlingcoin#cryptopia"
"cryptopia","Sphre AIR","Sphre AIR#cryptopia"
"cryptopia","Philosopher Stones","Philosopher Stones#cryptopia"
"cryptopia","Spots","Spots#cryptopia"
"cryptopia","BitBar","BitBar#cryptopia"
"cryptopia","8Bit","8Bit#cryptopia"
"cryptopia","BitCoal","BitCoal#cryptopia"
"cryptopia","The Cypherfunks","The Cypherfunks#cryptopia"
"cryptopia","BnrtxCoin","BnrtxCoin#cryptopia"
"cryptopia","TopCoin","TopCoin#cryptopia"
"cryptopia","AsiaCoin","AsiaCoin#cryptopia"
"cryptopia","Coin2.1","Coin2.1#cryptopia"
"cryptopia","AurumCoin","AurumCoin#cryptopia"
"cryptopia","Novacoin","Novacoin#cryptopia"
"cryptopia","BenjiRolls","BenjiRolls#cryptopia"
"cryptopia","Bolivarcoin","Bolivarcoin#cryptopia"
"cryptopia","Nyancoin","Nyancoin#cryptopia"
"cryptopia","Gold Pressed Latinum","Gold Pressed Latinum#cryptopia"
"cryptopia","Virta Unique Coin","Virta Unique Coin#cryptopia"
"cryptopia","Aricoin","Aricoin#cryptopia"
"cryptopia","300 Token","300 Token#cryptopia"
"cryptopia","Acoin","Acoin#cryptopia"
"cryptopia","LiteBar","LiteBar#cryptopia"
"cryptopia","MojoCoin","MojoCoin#cryptopia"
"cryptopia","Evil Coin","Evil Coin#cryptopia"
"cryptopia","Hexx","Hexx#cryptopia"
"cryptopia","Compcoin","Compcoin#cryptopia"
"cryptopia","SHACoin","SHACoin#cryptopia"
"cryptopia","Mineum","Mineum#cryptopia"
"cryptopia","Sakuracoin","Sakuracoin#cryptopia"
"cryptopia","Truckcoin","Truckcoin#cryptopia"
"cryptopia","GameUnits","GameUnits#cryptopia"
"cryptopia","Sativacoin","Sativacoin#cryptopia"
"cryptopia","Tigercoin","Tigercoin#cryptopia"
"cryptopia","CorgiCoin","CorgiCoin#cryptopia"
"cryptopia","Creatio","Creatio#cryptopia"
"cryptopia","MustangCoin","MustangCoin#cryptopia"
"cryptopia","Pakcoin","Pakcoin#cryptopia"
"cryptopia","Wild Crypto","Wild Crypto#cryptopia"
"cryptopia","Cubits","Cubits#cryptopia"
"cryptopia","UR","UR#cryptopia"
"cryptopia","Clams","Clams#cryptopia"
"cryptopia","TajCoin","TajCoin#cryptopia"
"cryptopia","Prime-XI","Prime-XI#cryptopia"
"cryptopia","BestChain","BestChain#cryptopia"
"cryptopia","PureVidz","PureVidz#cryptopia"
"cryptopia","SwagBucks","SwagBucks#cryptopia"
"cryptopia","Sharkcoin","Sharkcoin#cryptopia"
"cryptopia","Coinonat","Coinonat#cryptopia"
"cryptopia","Gapcoin","Gapcoin#cryptopia"
"cryptopia","Chronos","Chronos#cryptopia"
"cryptopia","CompuCoin","CompuCoin#cryptopia"
"cryptopia","AquariusCoin","AquariusCoin#cryptopia"
"cryptopia","PayCon","PayCon#cryptopia"
"cryptopia","Argentum","Argentum#cryptopia"
"cryptopia","ChessCoin","ChessCoin#cryptopia"
"cryptopia","Minex","Minex#cryptopia"
"cryptopia","Beatcoin","Beatcoin#cryptopia"
"cryptopia","IrishCoin","IrishCoin#cryptopia"
"cryptopia","Fonziecoin","Fonziecoin#cryptopia"
"cryptopia","Cream","Cream#cryptopia"
"cryptopia","HoboNickels","HoboNickels#cryptopia"
"cryptopia","Halcyon","Halcyon#cryptopia"
"cryptopia","Ecobit","Ecobit#cryptopia"
"cryptopia","LePen","LePen#cryptopia"
"cryptopia","Swing","Swing#cryptopia"
"cryptopia","Eurocoin","Eurocoin#cryptopia"
"cryptopia","Tattoocoin (Standard Edition)","Tattoocoin (Standard Edition)#cryptopia"
"cryptopia","iTicoin","iTicoin#cryptopia"
"cryptopia","UniCoin","UniCoin#cryptopia"
"cryptopia","Bitcedi","Bitcedi#cryptopia"
"cryptopia","BERNcash","BERNcash#cryptopia"
"cryptopia","GlobalBoost-Y","GlobalBoost-Y#cryptopia"
"cryptopia","Etheriya","Etheriya#cryptopia"
"cryptopia","Coin(O)","Coin(O)#cryptopia"
"cryptopia","HODL Bucks","HODL Bucks#cryptopia"
"cryptopia","LeaCoin","LeaCoin#cryptopia"
"cryptopia","GPU Coin","GPU Coin#cryptopia"
"cryptopia","Alphabit","Alphabit#cryptopia"
"cryptopia","Independent Money System","Independent Money System#cryptopia"
"cryptopia","Francs","Francs#cryptopia"
"cryptopia","GoldReserve","GoldReserve#cryptopia"
"cryptopia","Granite","Granite#cryptopia"
"cryptopia","Machinecoin","Machinecoin#cryptopia"
"cryptopia","Flaxscript","Flaxscript#cryptopia"
"cryptopia","Magnetcoin","Magnetcoin#cryptopia"
"cryptopia","Darsek","Darsek#cryptopia"
"cryptopia","RussiaCoin","RussiaCoin#cryptopia"
"cryptopia","BumbaCoin","BumbaCoin#cryptopia"
"cryptopia","WeAreSatoshi","WeAreSatoshi#cryptopia"
"cryptopia","Opal","Opal#cryptopia"
"cryptopia","EDRCoin","EDRCoin#cryptopia"
"cryptopia","GAIA","GAIA#cryptopia"
"cryptopia","Cthulhu Offerings","Cthulhu Offerings#cryptopia"
"cryptopia","Elacoin","Elacoin#cryptopia"
"cryptopia","OctoCoin","OctoCoin#cryptopia"
"cryptopia","RevolverCoin","RevolverCoin#cryptopia"
"cryptopia","NevaCoin","NevaCoin#cryptopia"
"cryptopia","SongCoin","SongCoin#cryptopia"
"cryptopia","FuzzBalls","FuzzBalls#cryptopia"
"cryptopia","Evotion","Evotion#cryptopia"
"cryptopia","Fazzcoin","Fazzcoin#cryptopia"
"cryptopia","I0Coin","I0Coin#cryptopia"
"cryptopia","SoonCoin","SoonCoin#cryptopia"
"cryptopia","Allion","Allion#cryptopia"
"cryptopia","GoldPieces","GoldPieces#cryptopia"
"cryptopia","Prototanium","Prototanium#cryptopia"
"cryptopia","Quatloo","Quatloo#cryptopia"
"cryptopia","ParallelCoin","ParallelCoin#cryptopia"
"cryptopia","Byteball Bytes","Byteball Bytes#cryptopia"
"cryptopia","Kittehcoin","Kittehcoin#cryptopia"
"cryptopia","Safe Exchange Coin","Safe Exchange Coin#cryptopia"
"cryptopia","Infinitecoin","Infinitecoin#cryptopia"
"cryptopia","Kayicoin","Kayicoin#cryptopia"
"cryptopia","EmberCoin","EmberCoin#cryptopia"
"cryptopia","Scorecoin","Scorecoin#cryptopia"
"cryptopia","BeaverCoin","BeaverCoin#cryptopia"
"cryptopia","CryptCoin","CryptCoin#cryptopia"
"cryptopia","FireFlyCoin","FireFlyCoin#cryptopia"
"cryptopia","Dashcoin","Dashcoin#cryptopia"
"liqui","TRON","TRON#liqui"
"liqui","AirSwap","AirSwap#liqui"
"liqui","Ethereum","Ethereum#liqui"
"liqui","Golem","Golem#liqui"
"liqui","AdEx","AdEx#liqui"
"liqui","Bitcoin","Bitcoin#liqui"
"liqui","Matchpool","Matchpool#liqui"
"liqui","Blackmoon Crypto","Blackmoon Crypto#liqui"
"liqui","Litecoin","Litecoin#liqui"
"liqui","Propy","Propy#liqui"
"liqui","SALT","SALT#liqui"
"liqui","Basic Attention Token","Basic Attention Token#liqui"
"liqui","SONM","SONM#liqui"
"liqui","Status","Status#liqui"
"liqui","Aeternity","Aeternity#liqui"
"liqui","MobileGo","MobileGo#liqui"
"liqui","SIRIN LABS Token","SIRIN LABS Token#liqui"
"liqui","Iconomi","Iconomi#liqui"
"liqui","EOS","EOS#liqui"
"liqui","Dash","Dash#liqui"
"liqui","Nimiq","Nimiq#liqui"
"liqui","Bitcoin Cash","Bitcoin Cash#liqui"
"liqui","TaaS","TaaS#liqui"
"liqui","Waves","Waves#liqui"
"liqui","Wings","Wings#liqui"
"liqui","VeChain","VeChain#liqui"
"liqui","Santiment Network Token","Santiment Network Token#liqui"
"liqui","Tierion","Tierion#liqui"
"liqui","Melon","Melon#liqui"
"liqui","Bancor","Bancor#liqui"
"liqui","Edgeless","Edgeless#liqui"
"liqui","Aragon","Aragon#liqui"
"liqui","Civic","Civic#liqui"
"liqui","Stox","Stox#liqui"
"liqui","0x","0x#liqui"
"liqui","district0x","district0x#liqui"
"liqui","Indorse Token","Indorse Token#liqui"
"liqui","TenX","TenX#liqui"
"liqui","Augur","Augur#liqui"
"liqui","Enigma","Enigma#liqui"
"liqui","Kyber Network","Kyber Network#liqui"
"liqui","Decentraland","Decentraland#liqui"
"liqui","Cofound.it","Cofound.it#liqui"
"liqui","Mysterium","Mysterium#liqui"
"liqui","Gnosis","Gnosis#liqui"
"liqui","OmiseGO","OmiseGO#liqui"
"liqui","Monaco","Monaco#liqui"
"liqui","Sphre AIR","Sphre AIR#liqui"
"liqui","DigixDAO","DigixDAO#liqui"
"liqui","Patientory","Patientory#liqui"
"liqui","Quantum Resistant Ledger","Quantum Resistant Ledger#liqui"
"liqui","WeTrust","WeTrust#liqui"
"liqui","TokenCard","TokenCard#liqui"
"liqui","iExec RLC","iExec RLC#liqui"
"liqui","SingularDTV","SingularDTV#liqui"
"liqui","Storj","Storj#liqui"
"liqui","Chronobank","Chronobank#liqui"
"liqui","OAX","OAX#liqui"
"liqui","Request Network","Request Network#liqui"
"liqui","FirstBlood","FirstBlood#liqui"
"liqui","Golos Gold","Golos Gold#liqui"
"liqui","Lunyr","Lunyr#liqui"
"liqui","vSlice","vSlice#liqui"
"liqui","Humaniq","Humaniq#liqui"
"liqui","Qtum","Qtum#liqui"
"liqui","Pluton","Pluton#liqui"
"liqui","Incent","Incent#liqui"
"liqui","BCAP","BCAP#liqui"
"gate-io","Ink","Ink#gate-io"
"gate-io","Bitcoin","Bitcoin#gate-io"
"gate-io","Ethereum","Ethereum#gate-io"
"gate-io","Nebulas","Nebulas#gate-io"
"gate-io","Bitcoin Diamond","Bitcoin Diamond#gate-io"
"gate-io","Bytom","Bytom#gate-io"
"gate-io","EOS","EOS#gate-io"
"gate-io","Qtum","Qtum#gate-io"
"gate-io","ETHLend","ETHLend#gate-io"
"gate-io","TRON","TRON#gate-io"
"gate-io","Dogecoin","Dogecoin#gate-io"
"gate-io","Ripple","Ripple#gate-io"
"gate-io","Ethereum Classic","Ethereum Classic#gate-io"
"gate-io","Hshare","Hshare#gate-io"
"gate-io","Bitcoin Cash","Bitcoin Cash#gate-io"
"gate-io","Litecoin","Litecoin#gate-io"
"gate-io","Bodhi","Bodhi#gate-io"
"gate-io","Bounty0x","Bounty0x#gate-io"
"gate-io","Aeternity","Aeternity#gate-io"
"gate-io","VeChain","VeChain#gate-io"
"gate-io","Medibloc","Medibloc#gate-io"
"gate-io","SmartMesh","SmartMesh#gate-io"
"gate-io","Filecoin [Futures]","Filecoin [Futures]#gate-io"
"gate-io","BitcoinX [Futures]","BitcoinX [Futures]#gate-io"
"gate-io","Decentraland","Decentraland#gate-io"
"gate-io","LLToken","LLToken#gate-io"
"gate-io","MediShares","MediShares#gate-io"
"gate-io","CoinDash","CoinDash#gate-io"
"gate-io","TenX","TenX#gate-io"
"gate-io","QASH","QASH#gate-io"
"gate-io","Loopring","Loopring#gate-io"
"gate-io","Status","Status#gate-io"
"gate-io","Qbao","Qbao#gate-io"
"gate-io","Centra","Centra#gate-io"
"gate-io","Ripio Credit Network","Ripio Credit Network#gate-io"
"gate-io","Delphy","Delphy#gate-io"
"gate-io","Zeusshield","Zeusshield#gate-io"
"gate-io","Dash","Dash#gate-io"
"gate-io","NEO","NEO#gate-io"
"gate-io","Zcash","Zcash#gate-io"
"gate-io","Energo","Energo#gate-io"
"gate-io","Civic","Civic#gate-io"
"gate-io","Primas","Primas#gate-io"
"gate-io","Monero","Monero#gate-io"
"gate-io","Quantstamp","Quantstamp#gate-io"
"gate-io","Golem","Golem#gate-io"
"gate-io","Dai","Dai#gate-io"
"gate-io","Kyber Network","Kyber Network#gate-io"
"gate-io","Super Bitcoin","Super Bitcoin#gate-io"
"gate-io","Storj","Storj#gate-io"
"gate-io","Raiden Network Token","Raiden Network Token#gate-io"
"gate-io","Moeda Loyalty Points","Moeda Loyalty Points#gate-io"
"gate-io","Cardano","Cardano#gate-io"
"gate-io","IOTA","IOTA#gate-io"
"gate-io","OmiseGO","OmiseGO#gate-io"
"gate-io","Bitcoin Gold","Bitcoin Gold#gate-io"
"gate-io","Streamr DATAcoin","Streamr DATAcoin#gate-io"
"gate-io","ICON","ICON#gate-io"
"gate-io","BlockCDN","BlockCDN#gate-io"
"gate-io","Basic Attention Token","Basic Attention Token#gate-io"
"gate-io","ChainLink","ChainLink#gate-io"
"gate-io","KickCoin","KickCoin#gate-io"
"gate-io","Tierion","Tierion#gate-io"
"gate-io","Stox","Stox#gate-io"
"gate-io","Monaco","Monaco#gate-io"
"gate-io","Tezos (Pre-Launch)","Tezos (Pre-Launch)#gate-io"
